id;calories;proteins;fat;carbohydrate;name;composition;origin;food_category;is_national;region;
1;57;0,5;0,4;12,8;Apel malang segar;sayuran;Jawa Timur;fruit;1;Nasional;
2;98;3,9;2,6;14,8;Asinan Bogor sayuran;sayuran;DKI Jakarta;main_meal;;DKI Jakarta;
3;275;37,4;12,2;1,3;Ayam goreng kalasan paha;daging ayam;DI Yogyakarta;main_meal;;DI Yogyakarta;
4;295;39,2;13,6;1;Ayam goreng mbok berek dada;daging ayam;Jawa Tengah;main_meal;;Jawa Tengah;
5;246;37,9;9;0,7;Ayam goreng pasundan dada;daging ayam;Jawa Barat;main_meal;;Jawa Barat;
6;245;33,1;11,4;0,3;Ayam goreng pasundan paha;daging ayam;Jawa Barat;main_meal;;Jawa Barat;
7;244;36,7;9,2;1;Ayam goreng sukabumi dada;daging ayam;Jawa Barat;main_meal;;Jawa Barat;
8;283;35,7;14,3;0,5;Ayam goreng sukabumi paha;daging ayam;Jawa Barat;main_meal;;Jawa Barat;
9;272;8,7;6,7;44,1;Bakpia kue;gandum;DI Yogyakarta;snack;1;Nasional;
10;76;4,1;2,5;9,2;Bakso ;daging sapi;Jawa Timur;main_meal;1;Nasional;
11;280;8,2;10,2;39;Bakwan;gandum;Jawa Tengah;snack;1;Nasional;
12;102;3,7;6,7;6,9;Bayam tumis + oncom;sayuran;Jawa Barat;vegetable;;Jawa Barat;
13;154;3;4,5;25,5;Bihun Goreng ;gandum;DI Yogyakarta;main_meal;1;Nasional;
14;119;4,4;3,5;18,3;Bongkrek (tempe bungkil);kedelai;Jawa Tengah;snack;;Jawa Tengah;
15;249;3,4;0,4;58;Brem;sayuran;Jawa Timur;snack;;Jawa Timur;
16;141;15,3;3,3;12,6;Brongkos;daging sapi;Jawa Tengah;main_meal;;Jawa Tengah;
17;60;1;60;13;Bubur ;sayuran;Jawa Tengah;main_meal;;Jawa Tengah;
18;106;4,4;6,3;7,9;Buntil ;sayuran;Jawa Barat;main_meal;;Jawa Barat;
19;141;4,4;10,2;8;Buntil daun talas;sayuran;Jawa Barat;main_meal;;Jawa Barat;
20;97;5,8;6,3;4,2;Cap cai sayur;sayuran;Jawa Timur;main_meal;;Jawa Timur;
21;462;1,2;20,7;67,7;Ceriping getuk singkong;sayuran;Jawa Barat;main_meal;;Jawa Barat;
22;210;1,6;6,6;35,8;Combro ;sayuran;Jawa Barat;snack;;Jawa Barat;
23;42;1,8;0,5;9,4;Daun Beluntas;sayuran;Jawa Barat;vegetable;;Jawa Barat;
24;53;5,3;0,9;9,1;Daun katuk rebus;sayuran;Jawa Barat;vegetable;;Jawa Barat;
25;433;55;9;0;Dendeng Daging Sapi;daging sapi;Jawa Timur;main_meal;;Jawa Timur;
26;395;3;5,7;81,2;Dodol;sayuran;Jawa Tengah;snack;;Jawa Tengah;
27;331;1,9;7,6;63,8;Dodol kedondong;sayuran;DI Yogyakarta;snack;;DI Yogyakarta;
28;248;36,2;6,9;10,1;Empal (daging) Goreng masakan;daging sapi;Jawa Barat;main_meal;;Jawa Barat;
